Year,OSHPD_ID,Facility Name,County,Type of Ownership,Hospital Type,Teaching,Small/Rural,Licensed Beds,Available Beds,Staffed Beds,Pretax Net Income,Other Operating Rev,Total Operating Rev,Total Margin,Operating Margin,Location
2010,106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,City/County,Comparable,,,151,151,109,287145999,$13719143.00,$300865142.00,4.6%,4.8%,"MARTINEZ, California
(38.018992, -122.134855)"
2012,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,Imperial,District,Comparable,,Rural,107,107,107,94699993,$836681.00,$95536674.00,0.9%,0.9%,"BRAWLEY, California
(32.978688, -115.539429)"
2010,106381154,UCSF MEDICAL CENTER,SAN FRANCISCO,Non-Profit,Comparable,Teaching,,676,660,660,1832812410,$23312090.00,$1856124500.00,1.3%,1.3%,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2010,106430763,EL CAMINO HOSPITAL,SANTA CLARA,Non-Profit,Comparable,,,426,320,320,547418610,$24134648.00,$571553258.00,4.2%,4.4%,"MOUNTAIN VIEW, California
(37.39008, -122.08139)"
2011,106444013,WATSONVILLE COMMUNITY HOSPITAL,Santa Cruz,Investor,Comparable,,,106,106,92,104003724,$171725.00,$104175449.00,0.2%,0.2%,"WATSONVILLE, California
(36.910233, -121.756873)"
2010,106380868,LANGLEY PORTER PSYCHIATRIC INSTITUTE,SAN FRANCISCO,Non-Profit,Comparable,,,67,22,22,16755914,$1061755.00,$17817669.00,6%,6.3%,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2011,106361246,LOMA LINDA UNIVERSITY MEDICAL CENTER,San Bernardino,Non-Profit,Comparable,Teaching,,881,815,650,1132919448,$22084121.00,$1155003569.00,1.9%,1.9%,"LOMA LINDA, California
(34.048261, -117.261123)"
2010,106190470,PROVIDENCE LITTLE CO OF MARY MC-TORRANCE,LOS ANGELES,Non-Profit,Comparable,,,436,436,321,305182993,$9214208.00,$314397201.00,2.9%,3%,"TORRANCE, California
(33.836318, -118.340038)"
2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,ORANGE,Non-Profit,Comparable,,,223,223,223,196267181,$-622351.00,$195644830.00,-0.3%,-0.3%,"ANAHEIM, California
(33.834492, -117.915638)"
2010,106231013,MENDOCINO COAST DISTRICT HOSPTIAL,MENDOCINO,District,Comparable,,Small,25,25,17,42812976,$601388.00,$43414364.00,1.4%,1.4%,"FORT BRAGG, California
(39.445486, -123.804543)"
2010,106190883,WHITTIER HOSPITAL MEDICAL CENTER,LOS ANGELES,Investor,Comparable,,,178,178,178,91264714,$146090.00,$91410804.00,0.2%,0.2%,"WHITTIER, California
(33.967318, -118.048051)"
2011,106190857,DOCTORS HOSPITAL OF WEST COVINA,Los Angeles,Investor,Comparable,,,51,51,51,10303855,$374952.00,$10678807.00,3.5%,3.6%,"WEST COVINA, California
(34.068896, -117.938239)"
2010,106190696,PACIFICA HOSPITAL OF THE VALLEY,LOS ANGELES,Investor,Comparable,,,231,231,221,57851715,$704885.00,$58556600.00,1.2%,1.2%,"SUN VALLEY, California
(34.217499, -118.3694)"
2010,106190323,GLENDALE ADVENTIST MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,,,457,457,380,346846398,$4338958.00,$351185356.00,1.2%,1.3%,"GLENDALE, California
(34.148138, -118.246437)"
2011,106190949,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,Los Angeles,Non-Profit,Comparable,,,227,221,142,202284626,$394667.00,$202679293.00,0.2%,0.2%,"VALENCIA, California
(34.389444, -118.564722)"
2011,106301175,FOUNTAIN VALLEY REGIONAL HOSPITAL & MED CENTER-EUCLID,Orange,Investor,Comparable,,,400,400,240,295228799,$3503175.00,$298731974.00,1.2%,1.2%,"FOUNTAIN VALLEY, California
(33.708975, -117.951323)"
2010,106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,LOS ANGELES,Investor,Comparable,,,434,412,263,243532342,$1226612.00,$244758954.00,0.5%,0.5%,"LOS ANGELES, California
(34.052238, -118.243344)"
2010,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Non-Profit,Comparable,,Small,35,25,25,36202000,$173000.00,$36375000.00,0.5%,0.5%,"FORTUNA, California
(40.58858, -124.146858)"
2012,106450936,MAYERS MEMORIAL HOSPITAL,Shasta,District,Comparable,,Rural,121,121,121,17274851,$777685.00,$18052536.00,4.3%,4.5%,"FALL RIVER MILLS, California
(41.003555, -121.439959)"
2012,106374024,AURORA SAN DIEGO,San Diego,Investor,Comparable,,,80,80,72,25204051,$32758.00,$25236809.00,0.1%,0.1%,"SAN DIEGO, California
(32.71576, -117.163817)"
2011,106481094,SUTTER MEDICAL CENTER - SOLANO,Solano,Non-Profit,Comparable,,,102,102,102,116291584,$1774948.00,$118066532.00,1.5%,1.5%,"VALLEJO, California
(38.101088, -122.254959)"
2011,106304079,HEALTHSOUTH TUSTIN REHAB HOSPITAL,Orange,Investor,Comparable,,,48,48,45,21624164,$32152.00,$21656316.00,0.1%,0.1%,"TUSTIN, California
(33.742072, -117.818805)"
2011,106190170,CHILDREN'S HOSPITAL - LOS ANGELES,Los Angeles,Non-Profit,Comparable,Teaching,,603,329,329,536778457,$116254351.00,$653032808.00,17.8%,21.7%,"LOS ANGELES, California
(34.052238, -118.243344)"
2010,106361144,CHINO VALLEY MEDICAL CENTER,SAN BERNARDINO,Investor,Comparable,,,126,126,126,83136883,$132342.00,$83269225.00,0.2%,0.2%,"CHINO, California
(34.010971, -117.689239)"
2010,106344029,MERCY HOSPITAL-FOLSOM,SACRAMENTO,Non-Profit,Comparable,,,85,85,85,132004698,$725000.00,$132729698.00,0.5%,0.5%,"FOLSOM, California
(38.681325, -121.163738)"
2011,106340950,MERCY SAN JUAN HOSPITAL,Sacramento,Non-Profit,Comparable,,,370,370,370,463752000,$8518000.00,$472270000.00,1.8%,1.8%,"CARMICHAEL, California
(38.636604, -121.327265)"
2010,106364188,KINDRED HOSPITAL-RANCHO,SAN BERNARDINO,Non-Profit,Comparable,,,55,55,52,43107967,$196520.00,$43304487.00,0.5%,0.5%,"RANCHO CUCAMONGA, California
(34.106399, -117.575764)"
2010,106191014,LANTERMAN STATE HOSPITAL AND DEVELOPMENT,LOS ANGELES,State,State Hospitals,,,1286,1258,382,102858922,$0.00,$102858922.00,0%,0%,"POMONA, California
(34.055118, -117.750048)"
2010,106344017,SUTTER CENTER FOR PSYCHIATRY,SACRAMENTO,Non-Profit,Comparable,,,69,69,69,21332161,$88322.00,$21420483.00,0.4%,0.4%,"SACRAMENTO, California
(38.582087, -121.50012)"
2011,106230949,FRANK R HOWARD MEMORIAL HOSPITAL,Mendocino,Non-Profit,Comparable,,Rural,25,25,25,44814452,$1114569.00,$45929021.00,2.4%,2.5%,"WILLITS, California
(39.409044, -123.353523)"
2010,106344035,KINDRED HOSPITAL-SACRAMENTO,SACRAMENTO,Investor,Comparable,,,39,38,35,24386191,$0.00,$24386191.00,0%,0%,"FOLSOM, California
(38.681325, -121.163738)"
2011,106301248,LOS ALAMITOS MEDICAL CENTER,Orange,Investor,Comparable,,,167,167,124,174205621,$1336300.00,$175541921.00,0.8%,0.8%,"LOS ALAMITOS, California
(33.804939, -118.071876)"
2010,106361166,MONTCLAIR HOSPITAL MEDICAL CENTER,SAN BERNARDINO,Investor,Comparable,,,102,102,102,49466841,$2683410.00,$52150251.00,5.1%,5.4%,"MONTCLAIR, California
(34.077674, -117.693908)"
2010,106481015,ST. HELENA HOSPITAL BEHAVIORAL HEALTH CENTER,SOLANO,Non-Profit,Comparable,,,61,61,61,19594882,$170986.00,$19765868.00,0.9%,0.9%,"VALLEJO, California
(38.101088, -122.254959)"
2011,106331312,RIVERSIDE COMMUNITY HOSPITAL,Riverside,Investor,Comparable,,,372,345,345,405549849,$4253775.00,$409803624.00,1%,1%,"RIVERSIDE, California
(33.980534, -117.377025)"
2012,106301297,PLACENTIA-LINDA COMMUNITY HOSPITAL,Orange,Investor,Comparable,,,114,114,34,82728424,$182121.00,$82910545.00,0.2%,0.2%,"PLACENTIA, California
(33.871209, -117.860113)"
2010,106404046,SAN LUIS OBISPO COUNTY-PHF,SAN LUIS OBISPO,City/County,Psychiatric Health Facilities,,,16,16,16,1387143,$0.00,$1387143.00,0%,0%,"SAN LUIS OBISPO, California
(35.282619, -120.660014)"
2011,106491267,SONOMA DEVELOPMENTAL CENTER,Sonoma,State,State Hospitals,,,1413,1388,561,194166324,$0.00,$194166324.00,0%,0%,"ELDRIDGE, California
(38.339376, -122.50875)"
2010,106301340,ST. JOSEPH HOSPITAL-ORANGE,ORANGE,Non-Profit,Comparable,,,525,376,376,553550042,$77665375.00,$631215417.00,12.3%,14%,"ORANGE, California
(33.791489, -117.853096)"
2010,106334068,SOUTHWEST HEALTHCARE SYSTEM-MURRIETA,RIVERSIDE,Investor,Comparable,,,218,218,218,215533882,$2005707.00,$217539589.00,0.9%,0.9%,"MURRIETA, California
(33.559752, -117.220777)"
2011,106301140,CHAPMAN MEDICAL CENTER,Orange,Investor,Comparable,,,114,100,100,41930353,$148477.00,$42078830.00,0.4%,0.4%,"ORANGE, California
(33.791489, -117.853096)"
2010,106490964,HEALDSBURG DISTRICT HOSPITAL,SONOMA,District,Comparable,,Small,43,38,38,31534519,$593515.00,$32128034.00,1.8%,1.9%,"HEALDSBURG, California
(38.615845, -122.871942)"
2010,106270875,SALINAS VALLEY MEMORIAL HOSPITAL,MONTEREY,District,Comparable,,,269,254,243,349232364,$3102199.00,$352334563.00,0.9%,0.9%,"SALINAS, California
(36.676795, -121.656421)"
2011,106450940,SHASTA REGIONAL MEDICAL CENTER,Shasta,Investor,Comparable,,,246,246,246,156071180,$955356.00,$157026536.00,0.6%,0.6%,"REDDING, California
(40.574637, -122.38109)"
2010,106350784,HAZEL HAWKINS MEMORIAL HOSPITAL,SAN BENITO,District,Comparable,,Small,176,154,120,72775607,$1915937.00,$74691544.00,2.6%,2.6%,"HOLLISTER, California
(36.852513, -121.402063)"
2011,106010846,ALAMEDA COUNTY MEDICAL CENTER,Alameda,City/County,Comparable,Teaching,,475,453,421,459948170,$131027886.00,$590976056.00,22.2%,-28.5%,"OAKLAND, California
(37.804828, -122.27248)"
2011,106014050,VALLEYCARE MEDICAL CENTER,Alameda,Non-Profit,Comparable,,,242,222,222,213176918,$9569114.00,$222746032.00,4.3%,4.5%,"PLEASANTON, California
(37.656667, -121.878923)"
2011,106190522,GLENDALE MEMORIAL HOSPITAL & HEALTH CENTER,Los Angeles,Non-Profit,Comparable,,,334,321,166,177745059,$3501693.00,$181246752.00,1.9%,2%,"GLENDALE, California
(34.148138, -118.246437)"
2011,106332172,KINDRED HOSPITAL - RIVERSIDE,Riverside,Investor,Comparable,,,40,40,40,23706052,$29829.00,$23735881.00,0.1%,0.1%,"PERRIS, California
(33.786558, -117.228201)"
2011,106150808,TEHACHAPI HOSPITAL,Kern,District,Comparable,,Rural,25,24,24,15669005,$65383.00,$15734388.00,0.4%,0.4%,"TEHACHAPI, California
(35.132317, -118.449074)"
2010,106190878,WHITE MEMORIAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,Teaching,,353,353,274,317204594,$6761220.00,$323965814.00,2.1%,2.1%,"LOS ANGELES, California
(34.052238, -118.243344)"
2010,106214034,NOVATO COMMUNITY HOSPITAL-CURRENT LOC,MARIN,Non-Profit,Comparable,,,47,47,18,65201329,$2831307.00,$68032636.00,4.2%,4.3%,"NOVATO, California
(38.109189, -122.578257)"
2011,106400466,ARROYO GRANDE COMMUNITY HOSPITAL,San Luis Obispo,Non-Profit,Comparable,,,67,67,58,51488750,$638987.00,$52127737.00,1.2%,1.2%,"ARROYO GRANDE, California
(35.124098, -120.576388)"
2011,106490919,SUTTER MEDICAL CENTER - SANTA ROSA,Sonoma,Non-Profit,Comparable,,,135,135,115,155991419,$1989529.00,$157980948.00,1.3%,1.3%,"SANTA ROSA, California
(38.439698, -122.715642)"
2012,106141273,NORTHERN INYO HOSPITAL,Inyo,District,Comparable,,Rural,25,25,7,59642143,$1931658.00,$61573801.00,3.1%,3.2%,"BISHOP, California
(37.361412, -118.39527)"
2012,106190256,EAST LOS ANGELES DOCTOR'S HOSPITAL,Los Angeles,Investor,Comparable,,,127,127,127,81510187,$2113624.00,$83623811.00,2.5%,2.6%,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106301205,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,Orange,Non-Profit,Comparable,,,568,451,451,730044688,$36254768.00,$766299456.00,4.7%,5%,"NEWPORT BEACH, California
(33.615967, -117.930378)"
2011,106340951,METHODIST HOSPITAL OF SACRAMENTO,Sacramento,Non-Profit,Comparable,,,333,327,327,199303000,$5298000.00,$204601000.00,2.6%,2.7%,"SACRAMENTO, California
(38.582087, -121.50012)"
2011,106500852,DOCTORS MEDICAL CENTER,Stanislaus,Investor,Comparable,,,461,461,297,376104172,$16105432.00,$392209604.00,4.1%,4.3%,"MODESTO, California
(37.640735, -121.002435)"
2010,106190636,CITRUS VALLEY MEDICAL CENTER-QV CAMPUS,LOS ANGELES,Non-Profit,Comparable,,,518,518,518,373712991,$2343068.00,$376056059.00,0.6%,0.6%,"WEST COVINA, California
(34.068896, -117.938239)"
2010,106410817,SETON MEDICAL CENTER,SAN MATEO,Non-Profit,Comparable,,,478,428,284,288134854,$2194634.00,$290329488.00,0.8%,0.8%,"DALY CITY, California
(37.691113, -122.472221)"
2010,106110889,GLENN MEDICAL CENTER,GLENN,Non-Profit,Comparable,,Small,47,15,15,12938684,$297800.00,$13236484.00,2.2%,2.3%,"WILLOWS, California
(39.520518, -122.198176)"
2011,106301340,ST. JOSEPH HOSPITAL - ORANGE,Orange,Non-Profit,Comparable,,,525,390,390,538955112,$83894578.00,$622849690.00,13.5%,15.6%,"ORANGE, California
(33.791489, -117.853096)"
2011,106014207,TELECARE HERITAGE PHF,Alameda,Investor,Psychiatric Health Facilities,,,26,26,26,8205502,$0.00,$8205502.00,0%,0%,"OAKLAND, California
(37.804828, -122.27248)"
2011,106244027,MARIE GREEN PSYCHIATRIC CENTER -PHF,Merced,City/County,Psychiatric Health Facilities,,,16,16,16,3544615,$0.00,$3544615.00,0%,0%,"MERCED, California
(37.306968, -120.481971)"
2010,106190758,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,,,414,308,256,375031468,$6605487.00,$381636955.00,1.7%,1.8%,"BURBANK, California
(34.182052, -118.307476)"
2011,106171395,SUTTER LAKESIDE HOSPITAL,Lake,Non-Profit,Comparable,,Rural,49,25,25,63997898,$1653905.00,$65651803.00,2.5%,2.6%,"LAKEPORT, California
(39.043171, -122.915171)"
2011,106301380,KINDRED HOSPITAL - WESTMINSTER,Orange,Investor,Comparable,,,109,109,109,67962895,$100012.00,$68062907.00,0.1%,0.1%,"WESTMINSTER, California
(33.759234, -117.987575)"
2010,106191216,USC KENNETH NORRIS JR. CANCER HOSPITAL,LOS ANGELES,Non-Profit,Comparable,,,60,60,35,75885714,$3557105.00,$79442819.00,4.5%,4.7%,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106424002,SANTA BARBARA COUNTY - PHF,Santa Barbara,City/County,Psychiatric Health Facilities,,,16,16,16,3862910,$0.00,$3862910.00,0%,0%,"SANTA BARBARA, California
(34.420867, -119.698342)"
2012,106361343,ST. MARY MEDICAL CENTER - APPLE VALLEY,San Bernardino,Non-Profit,Comparable,,Rural,212,212,206,269028176,$3931884.00,$272960060.00,1.4%,1.5%,"APPLE VALLEY, California
(34.524024, -117.216839)"
2012,106301357,NEWPORT SPECIALTY HOSPITAL,Orange,Investor,Comparable,,,177,109,56,30600650,$210762.00,$30811412.00,0.7%,0.7%,"TUSTIN, California
(33.742072, -117.818805)"
2011,106191231,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,Los Angeles,City/County,Comparable,Teaching,,377,275,275,280913767,$35457181.00,$316370948.00,11.2%,-12.6%,"SYLMAR, California
(34.3078, -118.448303)"
2010,106190110,BROTMAN MEDICAL CENTER,LOS ANGELES,Investor,Comparable,,,420,225,225,109625058,$2295797.00,$111920855.00,2.1%,2.1%,"CULVER CITY, California
(34.0225, -118.394287)"
2012,106190468,PROMISE HOSPITAL OF EAST LOS ANGELES,Los Angeles,Investor,Comparable,,,213,213,179,78308345,$192927.00,$78501272.00,0.2%,0.2%,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Alameda,Non-Profit,Comparable,,,50,50,50,3364493,$1298781.00,$4663274.00,27.9%,38.6%,"OAKLAND, California
(37.804828, -122.27248)"
2011,106194219,KECK HOSPITAL OF USC,Los Angeles,Investor,Comparable,Teaching,,411,349,207,477303365,$7240269.00,$484543634.00,1.5%,1.5%,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106190555,CEDARS-SINAI MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,Teaching,,947,892,892,2122751724,$224802217.00,$2347553941.00,9.6%,10.6%,"LOS ANGELES, California
(34.052238, -118.243344)"
2010,106560525,SIMI VALLEY HOSPITAL & HEALTH SERVICES-SYCAMORE,VENTURA,Non-Profit,Comparable,,,201,177,150,109466656,$1354573.00,$110821229.00,1.2%,1.2%,"SIMI VALLEY, California
(34.286321, -118.712804)"
2011,106191306,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION CENTER,Los Angeles,City/County,Comparable,,,395,289,203,141775920,$1972670.00,$143748590.00,1.4%,-1.4%,"DOWNEY, California
(33.940946, -118.12752)"
2012,106150736,KERN MEDICAL CENTER,Kern,City/County,Comparable,Teaching,,222,194,168,215594003,$10974334.00,$226568337.00,4.8%,5.1%,"BAKERSFIELD, California
(35.373405, -119.018911)"
2012,106380865,LAGUNA HONDA HOSPITAL & REHAB CENTER,San Francisco,City/County,LTC Emphasis,,,780,780,776,117921542,$984125.00,$118905667.00,0.8%,0.8%,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2012,106370780,TRI-CITY MEDICAL CENTER,San Diego,District,Comparable,,,397,397,222,300294422,$9242600.00,$309537022.00,3%,3.1%,"OCEANSIDE, California
(33.195906, -117.379517)"
2011,106121080,ST. JOSEPH HOSPITAL - EUREKA,Humboldt,Non-Profit,Comparable,,,189,138,138,190987349,$736297.00,$191723646.00,0.4%,0.4%,"EUREKA, California
(40.786143, -124.161309)"
2011,106204019,CHILDREN'S HOSPITAL - CENTRAL CALIFORNIA,Madera,Non-Profit,Comparable,,,348,348,348,410064353,$17191982.00,$427256335.00,4%,4.2%,"MADERA, California
(36.961961, -120.059585)"
2011,106304460,HOAG ORTHOPEDIC INSTITUTE,Orange,Investor,Comparable,,,70,70,70,74637481,$1883.00,$74639364.00,0%,0%,"IRVINE, California
(33.685908, -117.824719)"
2010,106560838,PACIFIC SHORES,VENTURA,Investor,Comparable,,,30,30,30,8989366,$0.00,$8989366.00,0%,0%,"OXNARD, California
(34.197663, -119.175947)"
2011,106071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,Contra Costa,Non-Profit,Comparable,,,313,242,135,334319417,$4191359.00,$338510776.00,1.2%,1.3%,"CONCORD, California
(37.979103, -122.031333)"
2012,106380939,SAN FRANCISCO GENERAL HOSPITAL MEDICAL CENTER,San Francisco,City/County,Comparable,Teaching,,598,564,383,559001164,$100849488.00,$659850652.00,15.3%,18%,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2010,106370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Comparable,,,343,343,281,271315556,$3004106.00,$274319662.00,1.1%,1.1%,"CHULA VISTA, California
(32.640071, -117.084042)"
2010,106330120,BETTY FORD CENTER OF EISENHOWER,RIVERSIDE,Non-Profit,Comparable,,,100,100,100,27438685,$4264286.00,$31702971.00,13.5%,15.5%,"RANCHO MIRAGE, California
(33.742298, -116.410904)"
2011,106344114,SHRINERS HOSPITAL - NORTHERN CALIF,Sacramento,Non-Profit,Shriners Hospitals,,,80,70,70,0,$57777449.00,$57777449.00,100%,0%,"SACRAMENTO, California
(38.582087, -121.50012)"
2012,106344188,CRESTWOOD PHF - SACRAMENTO,Sacramento,Investor,Psychiatric Health Facilities,,,16,16,16,2056320,$120975.00,$2177295.00,5.6%,5.9%,"SACRAMENTO, California
(38.582087, -121.50012)"
2012,106320859,EASTERN PLUMAS HEALTH CARE,Plumas,District,Comparable,,Rural,76,75,56,20474221,$490878.00,$20965099.00,2.3%,2.4%,"PORTOLA, California
(39.812099, -120.464742)"
2010,106334487,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,RIVERSIDE,City/County,Comparable,Teaching,,439,410,410,350298709,$23910033.00,$374208742.00,6.4%,6.8%,"MORENO VALLEY, California
(33.917114, -117.261144)"
2012,106301127,KINDRED HOSPITAL - BREA,Orange,Investor,Comparable,,,86,86,86,34361532,$52812.00,$34414344.00,0.2%,0.2%,"BREA, California
(33.917763, -117.898326)"
2011,106370745,SHARP MESA VISTA HOSPITAL,San Diego,Non-Profit,Comparable,,,149,149,101,57555084,$480797.00,$58035881.00,0.8%,0.8%,"SAN DIEGO, California
(32.71576, -117.163817)"
2011,106040875,FEATHER RIVER HOSPITAL,Butte,Non-Profit,Comparable,,,100,100,100,152464016,$10835976.00,$163299992.00,6.6%,7.1%,"PARADISE, California
(39.752081, -121.621973)"
2012,106301175,FOUNTAIN VALLEY REGIONAL HOSPITAL & MED CENTER-EUCLID,Orange,Investor,Comparable,,,400,400,237,303905316,$1904221.00,$305809537.00,0.6%,0.6%,"FOUNTAIN VALLEY, California
(33.708975, -117.951323)"
2011,106190878,WHITE MEMORIAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,Teaching,,353,353,273,286136685,$6191690.00,$292328375.00,2.1%,2.2%,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106010805,EDEN MEDICAL CENTER,Alameda,Non-Profit,Comparable,,,271,271,152,300529914,$8888226.00,$309418140.00,2.9%,3%,"CASTRO VALLEY, California
(37.698547, -122.073956)"
2010,106190958,METROPOLITAN STATE HOSPITAL,LOS ANGELES,State,State Hospitals,,,1096,672,637,80200381,$0.00,$80200381.00,0%,0%,"NORWALK, California
(33.914183, -118.072494)"
2011,106190323,GLENDALE ADVENTIST MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,457,414,298,332330852,$3868179.00,$336199031.00,1.2%,1.2%,"GLENDALE, California
(34.148138, -118.246437)"
2010,106190380,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,LOS ANGELES,Investor,Comparable,,,159,159,159,68620250,$77131.00,$68697381.00,0.1%,0.1%,"HOLLYWOOD, California
(34.098301, -118.325798)"
2010,106190784,TEMPLE COMMUNITY HOSPITAL,LOS ANGELES,Investor,Comparable,,,170,170,130,39809568,$70559.00,$39880127.00,0.2%,0.2%,"LOS ANGELES, California
(34.052238, -118.243344)"
2012,106491338,PALM DRIVE HOSPITAL,Sonoma,District,Comparable,,Rural,37,28,19,29236872,$141412.00,$29378284.00,0.5%,0.5%,"SEBASTOPOL, California
(38.402084, -122.824191)"
2010,106361110,BEAR VALLEY COMMUNITY HOSPITAL,SAN BERNARDINO,District,Comparable,,Small,30,30,26,12867208,$80972.00,$12948180.00,0.6%,0.6%,"BIG BEAR LAKE, California
(34.243516, -116.899432)"
